Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Rank
1989,NBA,SAS,56,26,1,,26.4,6-Jul,205,,82,240.6,41.3,85.3,0.484,0.7,2.8,0.239,40.7,82.6,0.492,23,30.9,0.745,14.2,30.2,44.4,24.8,9.7,6.8,17.1,22.6,106.3,30
1988,NBA,SAS,21,61,5,,25.6,6-Jun,203,,82,240.9,42.3,90.4,0.468,0.8,3.6,0.215,41.5,86.8,0.479,20.1,28.9,0.698,15.8,26.6,42.4,24.8,11.7,5.2,20.9,26.3,105.5,31
1987,NBA,SAS,31,51,5,,26.2,6-Jun,208,,82,241.5,45.2,92.2,0.49,1.6,5,0.323,43.6,87.2,0.5,21.6,29.4,0.733,14.4,28.5,42.9,28.6,9,5.7,17.3,24.3,113.6,32
1986,NBA,SAS,28,54,6,,27.1,6-Jun,206,,82,241.5,43.1,90.9,0.474,1.4,4.9,0.29,41.6,86,0.484,20.7,28,0.742,15.7,28.6,44.3,27.1,9.6,4,17.1,23.5,108.3,33
1985,NBA,SAS,35,47,6,,27.8,6-Jun,207,,82,241.5,43.9,86.6,0.506,0.6,2.4,0.235,43.3,84.2,0.514,23,30.8,0.746,13,29.4,42.5,27.6,9.8,4.8,19.8,25.8,111.2,34
1984,NBA,SAS,41,41,5,,28.1,6-Jun,205,,82,241.2,45.1,87.8,0.513,0.7,2.5,0.272,44.4,85.4,0.52,23.9,31.4,0.763,13.7,30.1,43.9,28.2,9.2,5.4,18.8,26.6,114.8,35
1983,NBA,SAS,37,45,5,,27.4,6-Jul,205,,82,243.7,47.7,94.2,0.506,1,3.2,0.3,46.7,91,0.514,24,31.8,0.755,15,30.8,45.8,28.8,8.4,6,17.6,26.2,120.3,36
1982,NBA,SAS,53,29,1,,27.2,6-Jul,204,,82,241.2,45.1,89.5,0.504,1.1,3.8,0.305,43.9,85.8,0.512,23,30.1,0.765,15,31.7,46.7,27.6,8.2,5.7,18.3,25.5,114.3,37
1981,NBA,SAS,48,34,1,,26.1,6-Jun,205,,82,240.9,45.1,92.8,0.486,0.8,3.1,0.254,44.3,89.8,0.494,22.1,28.5,0.776,15.3,30.9,46.2,27.5,7.3,6.8,15.8,27,113.1,38
1980,NBA,SAS,52,30,1,,26.7,6-Jul,203,,82,241.5,43.5,88.7,0.491,0.2,1,0.176,43.4,87.7,0.495,25,32.5,0.769,15.9,31.5,47.4,25,8.4,7.8,18.7,25.8,112.3,39
1979,NBA,SAS,41,41,3,,26.9,6-Jun,203,,82,240.9,47,94.4,0.498,0.6,2.5,0.252,46.4,91.9,0.505,24.7,30.8,0.801,14.1,30.7,44.7,28.4,9.4,4.1,19.4,25.6,119.4,40
1978,NBA,SAS,48,34,1,,27.3,6-Jul,201,,82,241.8,47.9,94.6,0.506,,,,47.9,94.6,0.506,23.5,29.5,0.795,13.4,31.9,45.3,28.2,10.1,6.2,20.1,25.3,119.3,41
1977,NBA,SAS,52,30,1,,26.9,6-Jul,202,,82,241.2,46.3,92.6,0.5,,,,46.3,92.6,0.5,21.9,27.2,0.804,12.6,31.6,44.2,27.3,9.7,6.7,20.3,22.8,114.5,42
1976,NBA,SAS,44,38,3,,25.8,6-Jun,202,,82,240.9,45.3,93.4,0.485,,,,45.3,93.4,0.485,24.5,30.8,0.797,13.5,31.1,44.6,25.8,10.5,6.1,21.6,24,115,43
1975,ABA,SAA,50,34,3,,24.5,6-Jun,202,,84,241.8,46.3,94.6,0.489,0.3,1.5,0.2,46,93,0.494,22.7,27.9,0.813,15.5,34.8,50.4,25.5,9,6.9,18.8,24.2,115.6,44
1974,ABA,SAA,51,33,2,,25.6,6-May,202,,84,241.5,45,94.2,0.478,0.5,1.9,0.261,44.5,92.3,0.482,22.9,28.3,0.812,17.4,33.3,50.7,22.3,8.3,4.4,16.9,24.3,113.4,45
1973,ABA,SAA,45,39,3,,24.6,6-Apr,201,,84,242.4,39.8,87.5,0.455,0.6,2.9,0.212,39.2,84.6,0.463,17.4,22.4,0.778,14.7,31.5,46.2,21.5,7.1,2.7,15.8,26.2,97.6,46
1972,ABA,DLC,28,56,5,,25.7,6-Apr,200,,84,242.1,41.7,91,0.458,1.7,5.2,0.33,39.9,85.8,0.466,25.7,34.1,0.754,16.7,31.1,47.8,22.6,,,18,25.5,110.7,47
1971,ABA,DLC,42,42,3,,25.7,6-May,209,,84,243,40,89.3,0.448,1.2,3.7,0.336,38.8,85.7,0.453,23.1,29.7,0.778,15.8,31.7,47.5,17.7,,,14.5,27.6,104.4,48
1970,ABA,TEX,30,54,4,,25.1,6-May,201,,84,242.7,47.2,106.4,0.443,2.9,9.2,0.311,44.3,97.2,0.456,24.3,31.7,0.766,20.6,35.3,55.9,22.6,,,17.6,24.9,121.5,49
1969,ABA,DLC,45,39,2,,24.5,6-Jun,209,,84,241.8,44.9,98.4,0.457,2.2,7,0.32,42.7,91.4,0.467,27.9,35.3,0.788,17.6,37.5,55.2,19.4,,,20.3,25.5,120,50
1968,ABA,DLC,41,37,4,,24.1,6-Jun,211,,78,241.6,40.8,91.7,0.445,1.2,3.9,0.316,39.6,87.9,0.451,28.1,37.8,0.744,17.4,35,52.4,16.9,,,18.9,27.9,111,51
1967,ABA,DLC,46,32,2,,22.6,6-May,207,,78,242.2,41.8,91.9,0.455,0.4,1.5,0.242,41.4,90.3,0.458,26,36,0.721,,,51.7,17.2,,,18.3,25.6,109.9,52
