Player,Season,Season Type,Team,Games,Min,Pts,OReb,Dreb,Reb,Ast,Stl,Blk,TO,PF,FGM,FGA,FG%,3PTM,3PTA,3PT%,FTM,FTA,FT%,Pos
Malik Beasley,2017-2018,REG,Nuggets,57,9.86,3.25,0.25,1,1.25,0.53,0.26,0.11,0.4,0.63,1.23,3.04,0.405,0.44,1.37,0.321,0.35,0.51,0.69,SF
Tyler Ennis,2017-2018,REG,Lakers,41,10.52,3.2,0.27,1.12,1.39,1.59,0.41,0.15,0.49,1.32,1.32,3.32,0.397,0.22,0.88,0.25,0.34,0.49,0.7,PF
Derrick White,2017-2018,REG,Spurs,17,8.16,3.18,0.29,1.24,1.53,0.53,0.24,0.18,0.35,0.47,0.94,1.94,0.485,0.47,0.76,0.615,0.82,1.18,0.7,SF
Tim Frazier,2017-2018,REG,Wizards,52,14.85,3.15,0.35,1.67,2.02,3.48,0.79,0.13,1.06,1.69,1.21,3,0.404,0.31,1,0.308,0.42,0.54,0.786,PF
Ivica Zubac,2017-2018,REG,Lakers,29,7.77,3.14,0.72,1.41,2.14,0.34,0.14,0.14,0.55,0.97,1.14,2.31,0.493,0,0,0,0.86,1.1,0.781,PG
Kevon Looney,2017-2018,REG,Warriors,52,11.44,3.12,1.17,1.56,2.73,0.54,0.33,0.56,0.42,1.48,1.29,2.25,0.573,0,0,0,0.54,1.06,0.509,PF
Jared Dudley,2017-2018,REG,Suns,39,13.8,3.1,0.18,1.64,1.82,1.62,0.51,0.15,0.59,1.74,0.95,2.41,0.394,0.67,1.69,0.394,0.54,0.67,0.808,C
Jason Terry,2017-2018,REG,Bucks,37,14.41,3.03,0.05,0.89,0.95,1.05,0.59,0.27,0.49,0.95,1.08,2.81,0.385,0.7,2.03,0.347,0.16,0.16,1,C
James Young,2017-2018,REG,76ers,5,10.42,3,0,0.4,0.4,0.4,0,0,0,0.6,0.8,2.4,0.333,0.6,2,0.3,0.8,1.2,0.667,PG
Naz Mitrou-Long,2017-2018,REG,Jazz,1,0.52,3,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,SF
Milton Doyle,2017-2018,REG,Nets,6,10.5,3,0.33,1.17,1.5,0.67,0.33,0.17,0.33,0.5,1.17,4.17,0.28,0.33,2.17,0.154,0.33,0.5,0.667,SF
Derrick Jones Jr.,2017-2018,REG,"Suns, Heat",17,13.59,3,1.12,0.82,1.94,0.41,0.24,0.76,0.35,1.35,1.06,2.76,0.383,0.12,0.94,0.125,0.76,1.18,0.65,C
Terrance Ferguson,2017-2018,REG,Thunder,52,12.17,2.9,0.35,0.42,0.77,0.29,0.37,0.19,0.19,1.4,1.12,2.71,0.411,0.58,1.83,0.316,0.1,0.12,0.834,PG
Gian Clavell,2017-2018,REG,Mavericks,7,9.09,2.86,0.14,0.86,1,0.43,0.29,0,0.29,1.14,0.86,2.57,0.333,0.86,2.14,0.4,0.29,0.29,1,PG
Damyean Dotson,2017-2018,REG,Knicks,35,8.51,2.86,0.14,1.17,1.31,0.51,0.2,0.03,0.31,0.63,1.14,2.63,0.435,0.34,1.14,0.3,0.23,0.34,0.667,PG
Darrell Arthur,2017-2018,REG,Nuggets,18,7.41,2.83,0.17,0.67,0.83,0.5,0.44,0.11,0.83,1.11,1.17,2.5,0.467,0.39,1.17,0.333,0.11,0.17,0.666,SG
Ekpe Udoh,2017-2018,REG,Jazz,56,13.62,2.8,1.14,1.38,2.52,0.91,0.73,1.2,0.34,1.75,1.04,2,0.518,0,0,0,0.73,0.96,0.759,PF
Abdel Nader,2017-2018,REG,Celtics,34,9.56,2.79,0.26,1.09,1.35,0.59,0.18,0.12,0.68,0.85,0.97,2.71,0.359,0.5,1.38,0.362,0.35,0.56,0.632,SF
TJ Leaf,2017-2018,REG,Pacers,48,8.72,2.77,0.52,1.02,1.54,0.17,0.1,0.06,0.21,0.9,1.13,2.44,0.462,0.35,0.79,0.447,0.17,0.25,0.667,C
Davon Reed,2017-2018,REG,Suns,12,9.28,2.75,0.08,1.5,1.58,0.58,0.25,0.08,0.25,0.75,1,3.08,0.324,0.5,1.33,0.375,0.25,0.33,0.75,PF
Isaiah Hicks,2017-2018,REG,Knicks,7,10.57,2.71,0.43,0.57,1,0.29,0.14,0.14,0.71,1.86,1.14,2.86,0.4,0,0.43,0,0.43,0.86,0.5,PF
Alex Caruso,2017-2018,REG,Lakers,28,13.05,2.71,0.29,1.04,1.32,1.71,0.57,0.29,0.89,1.18,1.07,2.39,0.448,0.18,0.79,0.227,0.39,0.57,0.688,SG
Malcolm Miller,2017-2018,REG,Raptors,13,8.52,2.69,0.23,0.92,1.15,0.15,0.08,0.15,0.15,0.62,0.92,1.92,0.48,0.54,1.38,0.389,0.31,0.31,1,PG
James Michael McAdoo,2017-2018,REG,76ers,3,5.98,2.67,0,0.67,0.67,0,0,0.33,0.33,0.33,0.67,2.33,0.286,0.67,2.33,0.286,0.67,0.67,1,C
Ante Zizic,2017-2018,REG,Cavaliers,22,5.52,2.64,0.59,1.14,1.73,0.18,0.05,0.5,0.32,0.82,1.14,1.64,0.694,0,0,0,0.36,0.55,0.667,C
Bobby Brown,2017-2018,REG,Rockets,20,5.75,2.5,0,0.35,0.35,0.55,0.2,0,0.45,0.3,0.95,2.9,0.328,0.55,2,0.275,0.05,0.1,0.5,PF
Johnathan Motley,2017-2018,REG,Mavericks,4,2.83,2.5,0.25,1.5,1.75,0.25,0,0.5,0.25,0.25,0.75,1.5,0.5,0,0,0,1,2.5,0.4,PF
Kyle Collinsworth,2017-2018,REG,Mavericks,22,13.32,2.45,0.91,2,2.91,1.23,0.68,0.14,0.59,1.45,1,2.32,0.431,0.14,0.32,0.429,0.32,0.86,0.368,C
Ron Baker,2017-2018,REG,Knicks,29,13.26,2.45,0.17,0.86,1.03,1.62,0.9,0.21,0.62,1.14,0.69,2.03,0.339,0.38,1.14,0.333,0.69,0.93,0.741,SG
Henry Ellenson,2017-2018,REG,Pistons,28,6.21,2.43,0.25,1.43,1.68,0.39,0.11,0,0.43,0.43,0.93,2.96,0.313,0.32,1.18,0.273,0.25,0.36,0.7,PG
Josh Huestis,2017-2018,REG,Thunder,64,14.95,2.42,0.64,1.81,2.45,0.31,0.23,0.66,0.41,1.23,0.92,2.72,0.339,0.5,1.73,0.288,0.08,0.28,0.278,SF
Chris McCullough,2017-2018,REG,Wizards,19,4.72,2.42,0.37,0.95,1.32,0.21,0,0.26,0.11,0.42,0.95,2.21,0.429,0.05,0.42,0.125,0.47,0.74,0.643,C
Lucas Nogueira,2017-2018,REG,Raptors,41,8.32,2.41,0.37,1.39,1.76,0.41,0.46,0.83,0.34,1.07,0.95,1.59,0.6,0.1,0.39,0.25,0.41,0.56,0.739,SF
Daniel Hamilton,2017-2018,REG,Thunder,5,5.24,2.4,0,1,1,1.4,0.2,0,0.4,0,1,2.2,0.455,0.4,1,0.4,0,0,0,SF
Dwayne Bacon,2017-2018,REG,Hornets,45,11.39,2.4,0.04,2.09,2.13,0.49,0.22,0.04,0.33,0.87,0.98,2.78,0.352,0.22,0.76,0.294,0.22,0.31,0.714,SF
Brandon Paul,2017-2018,REG,Spurs,56,9.53,2.34,0.09,1.07,1.16,0.64,0.45,0.13,0.46,0.95,0.86,2.04,0.421,0.25,0.91,0.275,0.38,0.66,0.568,SG
Nick Collison,2017-2018,REG,Thunder,13,5.52,2.31,0.46,1,1.46,0.31,0,0,0.54,0.54,1,1.46,0.684,0,0,0,0.31,0.62,0.5,PG
Rashad Vaughn,2017-2018,REG,"Bucks, Nets, Magic",28,7.57,2.29,0.11,0.68,0.79,0.46,0.14,0.11,0.21,0.54,0.82,2,0.411,0.5,1.32,0.378,0.14,0.21,0.667,C
Semi Ojeleye,2017-2018,REG,Celtics,59,14.06,2.29,0.51,1.37,1.88,0.25,0.29,0.03,0.29,1.15,0.73,2.36,0.309,0.51,1.73,0.294,0.32,0.51,0.633,SG
Nigel Hayes,2017-2018,REG,"Lakers, Raptors",4,4.22,2.25,0,0,0,0.5,0,0,0.25,0,0.75,1.25,0.6,0.5,1,0.5,0.25,0.25,1,PG
Gary Payton II,2017-2018,REG,"Bucks, Lakers",18,8.11,2.22,0.44,0.83,1.28,0.72,0.17,0.17,0.17,1.28,1,2.61,0.383,0.11,0.83,0.133,0.11,0.17,0.666,PG
Caleb Swanigan,2017-2018,REG,Trail Blazers,20,7.28,2.15,0.7,1.2,1.9,0.5,0.25,0.15,0.6,1.3,0.85,2.3,0.37,0.05,0.3,0.167,0.4,0.65,0.615,C
Josh Magette,2017-2018,REG,Hawks,13,8.74,2.15,0.15,0.62,0.77,2.85,0.31,0,0.31,0.54,0.62,1.69,0.364,0.31,0.77,0.4,0.62,0.62,1,C
Georgios Papagiannis,2017-2018,REG,Kings,16,7.37,2.13,0.75,1.5,2.25,0.56,0.13,0.38,0.5,0.75,1.06,2.56,0.415,0,0,0,0,0,0,SF
Jalen Jones,2017-2018,REG,"Pelicans, Mavericks",8,6.51,2,0.13,1.63,1.75,0.13,0.13,0,0.25,0.75,0.63,1.63,0.385,0.25,0.5,0.5,0.5,0.63,0.8,SG
Alec Peters,2017-2018,REG,Suns,12,8.18,2,0.33,1.33,1.67,0.67,0,0.17,0.08,0.25,0.67,2.67,0.25,0.42,2.25,0.185,0.25,0.25,1,C
Marshall Plumlee,2017-2018,REG,Bucks,7,6.43,2,0.57,1.71,2.29,0.29,0,0.14,0.43,1.14,0.14,0.43,0.333,0,0,0,1.71,2.29,0.75,SG
DeAndre Liggins,2017-2018,REG,"Bucks, Pelicans",49,13.23,2,0.14,1.18,1.33,0.88,0.73,0.24,0.37,1.55,0.8,1.88,0.424,0.37,0.96,0.383,0.04,0.1,0.4,PG
Gordon Hayward,2017-2018,REG,Celtics,1,5.25,2,0,1,1,0,0,0,0,1,1,2,0.5,0,1,0,0,0,0,SG
Brice Johnson,2017-2018,REG,"Clippers, Pistons, Grizzlies",16,4.57,2,0.44,1.13,1.56,0.06,0.5,0.19,0.31,0.81,0.94,2,0.469,0,0.06,0,0.13,0.13,1,SG
Luol Deng,2017-2018,REG,Lakers,1,13.13,2,0,0,0,1,1,0,1,0,1,2,0.5,0,0,0,0,0,0,SG
Briante Weber,2017-2018,REG,"Rockets, Grizzlies",14,9.9,2,0.21,1.43,1.64,1,0.79,0.21,0.57,1.43,0.71,1.71,0.417,0.29,0.64,0.444,0.29,0.29,1,SF
Quincy Pondexter,2017-2018,REG,Bulls,23,8.51,1.96,0.35,0.83,1.17,0.39,0.35,0.09,0.48,1.04,0.61,2.13,0.286,0.13,0.96,0.136,0.61,0.74,0.824,PF
Derrick Walton Jr.,2017-2018,REG,Heat,14,9.77,1.93,0.07,0.79,0.86,1.07,0.36,0.21,0.14,0.43,0.57,1.71,0.333,0.5,1.21,0.412,0.29,0.29,1,PF
Kyle Singler,2017-2018,REG,Thunder,12,4.9,1.92,0.08,0.75,0.83,0.17,0.08,0,0.25,0.33,0.58,1.75,0.333,0.17,0.42,0.4,0.58,1.08,0.538,PF
Dakari Johnson,2017-2018,REG,Thunder,29,5.49,1.9,0.55,0.62,1.17,0.28,0.21,0.28,0.14,0.93,0.76,1.34,0.564,0,0,0,0.38,0.69,0.55,SG
Aaron Brooks,2017-2018,REG,Timberwolves,29,5.53,1.9,0.17,0.28,0.45,0.62,0.21,0,0.31,0.66,0.76,1.76,0.431,0.24,0.72,0.333,0.14,0.21,0.667,SF
Guerschon Yabusele,2017-2018,REG,Celtics,23,5.56,1.87,0.57,0.91,1.48,0.48,0.09,0.04,0.3,0.7,0.61,1.48,0.412,0.35,1,0.348,0.3,0.48,0.636,C
Eric Moreland,2017-2018,REG,Pistons,56,11.52,1.84,1.13,2.75,3.88,1.11,0.38,0.66,0.54,1.64,0.84,1.59,0.528,0,0,0,0.16,0.43,0.375,C
Bruno Caboclo,2017-2018,REG,"Raptors, Kings",6,8.82,1.83,0.83,1,1.83,0.5,0.5,0.17,0.17,1.17,0.67,2.83,0.235,0,1.5,0,0.5,0.67,0.75,PF
Jamel Artis,2017-2018,REG,Magic,5,11.05,1.8,0.2,1.2,1.4,0.8,0,0,0,0,0.8,3.4,0.235,0,1,0,0.2,0.6,0.333,PG
Damien Wilkins,2017-2018,REG,Pacers,19,8.02,1.74,0.26,0.58,0.84,0.47,0.11,0.05,0.26,0.37,0.68,2.05,0.333,0.21,0.95,0.222,0.16,0.21,0.75,SF
Joakim Noah,2017-2018,REG,Knicks,7,5.74,1.71,0.86,1.14,2,0.57,0.29,0.29,0.57,0.71,0.71,1.43,0.5,0,0,0,0.29,0.57,0.5,C
John Holland,2017-2018,REG,Cavaliers,15,7.19,1.67,0.2,0.93,1.13,0.27,0.4,0.13,0.27,0.4,0.53,2,0.267,0.4,1.27,0.316,0.2,0.27,0.75,PG
Matt Williams Jr.,2017-2018,REG,Heat,3,3.8,1.67,0,0.33,0.33,0,0,0,0.33,0.33,0.67,2,0.333,0.33,1.67,0.2,0,0,0,SG
Jeff Withey,2017-2018,REG,Mavericks,9,4.37,1.67,0.11,1,1.11,0,0,0.33,0.22,0.33,0.67,1.78,0.375,0.22,1.11,0.2,0.11,0.22,0.5,SF
Richard Jefferson,2017-2018,REG,Nuggets,19,8.38,1.58,0.11,0.74,0.84,0.68,0.11,0.05,0.26,0.58,0.63,1.42,0.444,0.11,0.37,0.286,0.21,0.37,0.571,SG
Andrew Bogut,2017-2018,REG,Lakers,23,9.41,1.57,1.13,2.26,3.39,0.65,0.17,0.57,0.83,1.74,0.74,1.09,0.68,0,0,0,0.09,0.09,1,SG
James Webb III,2017-2018,REG,Nets,9,11.99,1.56,0.78,1.67,2.44,0.44,0.11,0,0.33,1.11,0.56,2.33,0.238,0.44,1.89,0.235,0,0,0,PF
Reggie Hearn,2017-2018,REG,Pistons,2,1.74,1.5,0,0,0,0,0,0,0,0,0.5,0.5,1,0.5,0.5,1,0,0,0,SF
Vincent Hunter,2017-2018,REG,Grizzlies,4,1.85,1.5,0.5,0.25,0.75,0,0,0.25,0.25,0,0.75,1.25,0.6,0,0,0,0,0,0,SG
Furkan Korkmaz,2017-2018,REG,76ers,6,5.33,1.5,0.33,0.67,1,0.33,0.17,0,0.17,0.67,0.5,2,0.25,0.17,1.33,0.125,0.33,0.33,1,PF
Joel Bolomboy,2017-2018,REG,Bucks,6,6.3,1.5,1,0.67,1.67,0,0.33,0,0.33,0.5,0.5,1,0.5,0,0.17,0,0.5,1,0.5,PF
Alfonzo McKinnie,2017-2018,REG,Raptors,13,3.76,1.46,0,0.46,0.46,0.08,0.08,0.08,0.23,0.62,0.54,1,0.539,0.23,0.62,0.375,0.15,0.23,0.666,PG
Ike Anigbogu,2017-2018,REG,Pacers,10,2.76,1.3,0.5,0.4,0.9,0,0.1,0.3,0.2,0.1,0.4,0.9,0.444,0,0,0,0.5,0.6,0.833,C
Omer Asik,2017-2018,REG,"Pelicans, Bulls",14,8.52,1.29,0.5,2.07,2.57,0.14,0.07,0.14,0.29,1,0.5,1.14,0.437,0,0,0,0.29,0.86,0.333,PF
Jabari Bird,2017-2018,REG,Celtics,4,5.61,1.25,0,0.5,0.5,0.25,0.25,0,0,0.5,0.25,1,0.25,0,0.5,0,0.75,1.25,0.6,PF
Markel Brown,2017-2018,REG,Rockets,4,7.87,1.25,0.25,1,1.25,0.5,0,0,0.5,1.5,0.5,1.75,0.286,0.25,1.25,0.2,0,0,0,PF
Zhou Qi,2017-2018,REG,Rockets,14,5.38,1.21,0.14,0.79,0.93,0.07,0.14,0.43,0.36,0.86,0.29,1.71,0.167,0.14,1.07,0.133,0.5,0.71,0.7,SG
Marcus Georges-Hunt,2017-2018,REG,Timberwolves,38,5.33,1.18,0.18,0.16,0.34,0.18,0.11,0,0.08,0.79,0.45,1.11,0.405,0.08,0.37,0.214,0.21,0.42,0.5,PG
Lorenzo Brown,2017-2018,REG,Raptors,12,7.91,1.17,0,0.75,0.75,1,0.33,0,0.08,0.42,0.58,1.75,0.333,0,0.58,0,0,0,0,SF
Ryan Arcidiacono,2017-2018,REG,Bulls,13,9.2,1.15,0,0.54,0.54,1,0.38,0,0.23,0.77,0.38,0.92,0.417,0.23,0.77,0.3,0.15,0.15,1,C
Darrun Hilliard,2017-2018,REG,Spurs,14,6.8,1.14,0,0.5,0.5,0.79,0.14,0,0.29,0.5,0.36,1.36,0.263,0,0.43,0,0.43,0.5,0.857,PG
Alex Poythress,2017-2018,REG,Pacers,23,4.14,1.13,0.3,0.39,0.7,0.09,0.13,0.04,0.09,0.57,0.48,1.04,0.458,0.17,0.43,0.4,0,0,0,SF
Thomas Bryant,2017-2018,REG,Lakers,10,3.34,1.1,0.1,0.5,0.6,0.2,0,0,0.1,0.2,0.3,0.9,0.333,0.1,0.5,0.2,0.4,0.6,0.667,SF
Jake Layman,2017-2018,REG,Trail Blazers,29,5.19,1.03,0.14,0.34,0.48,0.34,0.21,0.14,0.14,0.45,0.41,1.52,0.273,0.14,0.66,0.21,0.07,0.1,0.667,PG
Derrick Williams,2017-2018,REG,Lakers,2,4.26,1,0,0.5,0.5,0,0,0,0,0,0.5,2,0.25,0,1,0,0,0,0,SG
Wade Baldwin IV,2017-2018,REG,Trail Blazers,1,3,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,2,0.5,SF
PJ Dozier,2017-2018,REG,Thunder,2,1.59,1,0,0.5,0.5,0,0,0,0.5,0.5,0.5,1,0.5,0,0,0,0,0,0,SG
Matt Costello,2017-2018,REG,Spurs,4,8.05,1,0.25,2,2.25,0.5,0.5,0.5,0.25,1.75,0.5,1,0.5,0,0,0,0,0,0,PF
Scotty Hopson,2017-2018,REG,Mavericks,1,8.38,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,2,0.5,SF
D.J. Wilson,2017-2018,REG,Bucks,21,3.28,0.9,0.05,0.38,0.43,0.14,0.1,0.05,0.19,0.24,0.38,0.67,0.571,0.1,0.24,0.4,0.05,0.1,0.5,C
Tony Bradley,2017-2018,REG,Jazz,9,3.23,0.89,0.44,0.78,1.22,0.11,0,0,0,0.11,0.33,1.22,0.273,0,0.11,0,0.22,0.22,1,PG
Georges Niang,2017-2018,REG,Jazz,5,2.34,0.8,0,0.2,0.2,0.4,0.4,0,0.4,0.2,0.4,0.8,0.5,0,0.2,0,0,0,0,PG
Jacob Wiley,2017-2018,REG,Nets,5,6.65,0.8,0.4,1.8,2.2,0.4,0.2,0,0,0.8,0.2,0.8,0.25,0.2,0.4,0.5,0.2,0.4,0.5,C
Antonius Cleveland,2017-2018,REG,Mavericks,13,6.23,0.77,0.15,0.62,0.77,0.15,0.46,0.31,0.15,0.85,0.31,1.08,0.286,0,0.08,0,0.15,0.31,0.5,C
Larry Drew II,2017-2018,REG,"76ers, Pelicans",3,4.86,0.67,0.33,0,0.33,0.67,0,0,0.33,0.67,0.33,2.33,0.143,0,1,0,0,0,0,C
Demetrius Jackson,2017-2018,REG,Rockets,12,5.21,0.67,0.33,0.58,0.92,0.42,0.33,0.08,0.83,0.5,0.33,1.17,0.286,0,0.5,0,0,0,0,C
Josh Smith,2017-2018,REG,Pelicans,3,3.94,0.67,1,0.33,1.33,0,0,0,0,1,0.33,1.33,0.25,0,0,0,0,0,0,SF
Jacob Pullen,2017-2018,REG,76ers,3,2.03,0.67,0,0,0,0,0,0,0.33,0,0.33,0.67,0.5,0,0.33,0,0,0,0,PG
Charles Cooke,2017-2018,REG,Pelicans,9,2.64,0.67,0,0.11,0.11,0.11,0.11,0,0.11,0,0.22,1.11,0.2,0.11,0.67,0.167,0.11,0.22,0.5,SG
Kadeem Allen,2017-2018,REG,Celtics,8,3.43,0.63,0.13,0.25,0.38,0.13,0.13,0,0.38,0.25,0.13,0.75,0.167,0,0.38,0,0.38,0.5,0.75,PF
Vander Blue,2017-2018,REG,Lakers,5,8.98,0.6,0,0.2,0.2,0.6,0.2,0,0.6,0.4,0.2,1,0.2,0,0.4,0,0.2,0.4,0.5,SG
Udonis Haslem,2017-2018,REG,Heat,12,5.11,0.58,0.25,0.5,0.75,0.42,0,0.17,0.17,0.17,0.25,1,0.25,0.08,0.5,0.167,0,0,0,SG
Xavier Munford,2017-2018,REG,Bucks,6,3.46,0.5,0.17,0,0.17,0.67,0.17,0,0.33,0.67,0.17,1,0.167,0,0.33,0,0.17,0.33,0.5,SG
Cole Aldrich,2017-2018,REG,Timberwolves,16,2.01,0.5,0.19,0.31,0.5,0.06,0.13,0.06,0.06,0.44,0.19,0.69,0.273,0,0,0,0.13,0.25,0.5,SF
Julyan Stone,2017-2018,REG,Hornets,15,3.66,0.47,0,1.07,1.07,0.8,0.13,0.07,0.27,0.6,0.13,0.27,0.5,0.13,0.27,0.5,0.07,0.13,0.5,SF
Nate Wolters,2017-2018,REG,Jazz,5,3.76,0.4,0.2,0.2,0.4,0.2,0,0,0,0.2,0.2,1.2,0.167,0,0,0,0,0,0,PF
London Perrantes,2017-2018,REG,Cavaliers,8,2.57,0.25,0,0.13,0.13,0.38,0,0,0,0.25,0.13,0.38,0.333,0,0.13,0,0,0,0,PF
RJ Hunter,2017-2018,REG,Rockets,2,0.83,0,0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,SG
Erik McCree,2017-2018,REG,Jazz,4,1.88,0,0,0.25,0.25,0,0.25,0,0.25,0,0,0.5,0,0,0.25,0,0,0,0,PF
Josh McRoberts,2017-2018,REG,Mavericks,2,2.88,0,0,0,0,0,0,0,0,1,0,0.5,0,0,0.5,0,0,0,0,PG
Marcus Paige,2017-2018,REG,Hornets,1,2.92,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,SG
Luis Montero,2017-2018,REG,Pistons,2,3.98,0,0,1,1,0,0,0,1,0,0,0.5,0,0,0,0,0,0,0,C
Damian Jones,2017-2018,REG,Warriors,5,2.2,0,0.2,0,0.2,0,0,0.2,0.2,1,0,0,0,0,0,0,0,0,0,C
Mangok Mathiang,2017-2018,REG,Hornets,3,3.46,0,0.33,1.67,2,0,0,0,0,0.67,0,0.67,0,0,0,0,0,0,0,C
Nicolas Brussino,2017-2018,REG,Hawks,4,2.48,0,0,0.75,0.75,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,PF
Ben Moore,2017-2018,REG,Pacers,2,4.64,0,0,0.5,0.5,0.5,0,0,0,2,0,0,0,0,0,0,0,0,0,SF
Mindaugas Kuzminskas,2017-2018,REG,Knicks,1,1.85,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,C
Chris Boucher,2017-2018,REG,Warriors,1,1.32,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,PG
Trey McKinney-Jones,2017-2018,REG,Pacers,1,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SF
Jarell Eddie,2017-2018,REG,"Celtics, Bulls",3,2.87,0,0,0.33,0.33,0,0.33,0,0,0,0,0.67,0,0,0.67,0,0,0,0,SF
Tyler Lydon,2017-2018,REG,Nuggets,1,2.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SG
