Player,Season,Season Type,Team,Games,Min,Pts,OReb,Dreb,Reb,Ast,Stl,Blk,TO,PF,FGM,FGA,FG%,3PTM,3PTA,3PT%,FTM,FTA,FT%,Pos
Cory Joseph,2017-2018,REG,Pacers,69,27.33,8.13,0.51,2.77,3.28,3.14,1.03,0.22,1.1,1.75,3.19,7.36,0.433,0.86,2.33,0.366,0.9,1.22,0.738,PF
Evan Turner,2017-2018,REG,Trail Blazers,65,25.7,8.11,0.38,2.88,3.26,2.28,0.57,0.35,1.32,1.98,3.22,7.25,0.444,0.49,1.54,0.32,1.18,1.38,0.856,PG
Cameron Payne,2017-2018,REG,Bulls,11,19.15,8.09,0.45,1.64,2.09,3.18,1.36,0.36,0.91,1.27,3.27,7.55,0.434,1.09,3,0.364,0.45,0.64,0.714,SF
Kyle Anderson,2017-2018,REG,Spurs,61,27.22,8.07,1.13,4.46,5.59,2.82,1.54,0.8,1.34,1.52,3.16,6.13,0.516,0.2,0.72,0.273,1.54,2.11,0.729,SF
Jarrett Allen,2017-2018,REG,Nets,58,18.92,8.05,2.03,3.22,5.26,0.71,0.4,0.88,1.1,1.98,3.26,5.53,0.589,0.05,0.19,0.273,1.48,1.9,0.782,C
Delon Wright,2017-2018,REG,Raptors,55,20.28,8.05,0.67,2.11,2.78,2.69,1.04,0.47,1.2,1.16,2.91,6.15,0.473,0.76,2.11,0.362,1.47,1.75,0.844,C
Rajon Rondo,2017-2018,REG,Pelicans,53,25.57,8.04,0.51,3.4,3.91,7.79,1,0.19,2.15,1.77,3.42,7.28,0.469,0.81,2.25,0.361,0.4,0.68,0.583,PF
Alec Burks,2017-2018,REG,Jazz,59,17.08,8.03,0.31,2.78,3.08,1.07,0.63,0.14,0.95,1.2,2.76,6.73,0.411,0.73,2.25,0.323,1.78,2.07,0.861,SF
Darius Miller,2017-2018,REG,Pelicans,66,23.8,7.92,0.18,1.79,1.97,1.35,0.33,0.24,0.71,2.11,2.65,5.89,0.45,1.86,4.42,0.421,0.76,0.85,0.893,SG
Mario Chalmers,2017-2018,REG,Grizzlies,56,22.53,7.88,0.2,2.23,2.43,3.13,1.25,0.2,1.75,2.84,2.61,7.04,0.371,0.82,2.96,0.277,1.84,2.16,0.851,SG
Jerryd Bayless,2017-2018,REG,76ers,39,23.71,7.87,0.38,1.67,2.05,1.38,0.59,0.15,1.18,2.33,2.79,6.72,0.416,1.38,3.74,0.37,0.9,1.13,0.795,C
Chandler Parsons,2017-2018,REG,Grizzlies,32,19.44,7.84,0.38,2.13,2.5,1.91,0.47,0.34,1.06,1.5,3,6.5,0.462,1.38,3.41,0.404,0.47,0.78,0.6,SG
Alex Len,2017-2018,REG,Suns,60,19.72,7.83,2.4,5.02,7.42,1.13,0.4,0.93,1.13,2.28,2.8,5.02,0.558,0,0,0,2.23,3.18,0.702,SG
Frank Mason,2017-2018,REG,Kings,41,18.71,7.83,0.54,1.66,2.2,2.78,0.71,0.17,1.29,1.32,2.66,7.02,0.378,0.56,1.46,0.383,1.95,2.37,0.825,SF
Dejounte Murray,2017-2018,REG,Spurs,68,20.34,7.82,1.35,4.12,5.47,2.79,1.04,0.38,1.66,1.87,3.29,7.31,0.451,0.1,0.37,0.28,1.13,1.6,0.706,SG
Marreese Speights,2017-2018,REG,Magic,49,13.08,7.71,0.41,2.22,2.63,0.76,0.12,0.45,0.73,2.04,2.63,6.71,0.392,1.67,4.53,0.369,0.78,1.02,0.76,SF
Anthony Tolliver,2017-2018,REG,Pistons,65,20.59,7.69,0.57,2.22,2.78,1.11,0.37,0.23,0.75,1.69,2.4,5.48,0.438,1.75,4.28,0.41,1.14,1.42,0.804,SG
Doug McDermott,2017-2018,REG,"Knicks, Mavericks",68,21.8,7.68,0.57,1.91,2.49,1.01,0.24,0.21,0.66,1.5,2.85,6.16,0.463,1.12,2.66,0.42,0.85,1.09,0.784,SF
Luc Mbah a Moute,2017-2018,REG,Rockets,51,26.54,7.67,0.39,2.8,3.2,0.98,1.02,0.47,1.2,1.71,2.76,5.69,0.486,1.06,2.98,0.355,1.08,1.53,0.705,SF
Jarrett Jack,2017-2018,REG,Knicks,57,25.89,7.61,0.35,2.79,3.14,5.82,0.61,0.07,1.96,1.67,3.09,7.28,0.424,0.42,1.42,0.296,1.02,1.23,0.829,SG
David Nwaba,2017-2018,REG,Bulls,56,22.73,7.59,1.13,3.38,4.5,1.29,0.84,0.45,0.96,2.18,2.73,5.14,0.531,0.25,0.61,0.412,1.88,2.96,0.633,PF
Mason Plumlee,2017-2018,REG,Nuggets,61,20.46,7.52,1.87,3.93,5.8,2,0.7,1.1,1.52,2.44,3.2,5.36,0.596,0,0.02,0,1.13,2.56,0.442,PF
Jarell Martin,2017-2018,REG,Grizzlies,63,21.83,7.51,1.27,2.76,4.03,0.94,0.57,0.67,1.16,2.86,2.92,6.44,0.453,0.44,1.24,0.359,1.22,1.56,0.786,PG
Antonio Blakeney,2017-2018,REG,Bulls,16,14.82,7.44,0.19,1.38,1.56,0.81,0.38,0,0.5,0.94,2.63,6.75,0.389,0.81,2.5,0.325,1.38,1.88,0.733,SG
James Ennis III,2017-2018,REG,"Grizzlies, Pistons",59,23.43,7.39,1.14,2.25,3.39,1.03,0.73,0.29,0.85,2.02,2.59,5.36,0.484,0.75,2.08,0.358,1.46,1.71,0.851,C
Wayne Selden,2017-2018,REG,Grizzlies,26,18.48,7.38,0.42,1.12,1.54,1.77,0.46,0.08,1.5,1.62,2.58,6.65,0.387,1.12,3.15,0.354,1.12,1.5,0.744,SF
Bryn Forbes,2017-2018,REG,Spurs,68,19.57,7.32,0.16,1.29,1.46,0.96,0.38,0.03,0.51,1.46,2.76,6.57,0.421,1.22,3.13,0.39,0.57,0.9,0.639,SG
Justise Winslow,2017-2018,REG,Heat,55,24.3,7.22,1.02,4.53,5.55,2.16,0.8,0.49,1.16,2.07,2.8,6.65,0.421,0.75,1.67,0.446,0.87,1.4,0.623,C
Mirza Teletovic,2017-2018,REG,Bucks,10,15.92,7.1,0.3,2,2.3,1,0.4,0.1,0.7,1.4,2.5,5.7,0.439,2.1,4.5,0.467,0,0,0,SF
Tony Snell,2017-2018,REG,Bucks,61,28.46,7.1,0.15,1.79,1.93,1.36,0.69,0.36,0.57,1.61,2.52,5.74,0.44,1.48,3.57,0.413,0.57,0.72,0.796,PG
Cody Zeller,2017-2018,REG,Hornets,33,19,7.06,1.97,3.33,5.3,0.94,0.42,0.64,1,2.45,2.58,4.67,0.552,0.06,0.09,0.667,1.85,2.58,0.718,SG
Tomas Satoransky,2017-2018,REG,Wizards,60,21.02,7.03,0.87,1.9,2.77,3.65,0.73,0.18,1,1.7,2.63,4.97,0.53,0.63,1.4,0.452,1.13,1.47,0.773,PF
Pascal Siakam,2017-2018,REG,Raptors,67,20.21,7.03,1.04,3.49,4.54,1.93,0.82,0.52,0.79,1.97,3.03,6.01,0.504,0.31,1.7,0.184,0.66,1.03,0.638,PG
Ben McLemore,2017-2018,REG,Grizzlies,45,18.38,7.02,0.53,1.67,2.2,0.93,0.67,0.29,1.04,2.42,2.62,6.11,0.429,0.96,2.67,0.358,0.82,1.02,0.804,C
David West,2017-2018,REG,Warriors,57,13.68,7.02,0.91,2.54,3.46,1.89,0.68,1.14,1.11,1.63,3.12,5.12,0.61,0.04,0.11,0.333,0.74,0.98,0.75,PF
Raymond Felton,2017-2018,REG,Thunder,70,17.02,7,0.34,1.6,1.94,2.66,0.63,0.17,0.94,1.07,2.77,6.77,0.409,0.99,2.77,0.356,0.47,0.59,0.805,C
Jamil Wilson,2017-2018,REG,Clippers,15,18.25,7,0.2,1.93,2.13,0.67,0.33,0.53,0.53,2.27,2.53,5.4,0.469,1.8,4.2,0.429,0.13,0.27,0.5,SF
Kyle O'Quinn,2017-2018,REG,Knicks,67,17.29,7,1.4,4.3,5.7,1.97,0.49,1.18,1.31,2.54,2.84,4.78,0.594,0.01,0.16,0.091,1.31,1.72,0.765,C
Bam Adebayo,2017-2018,REG,Heat,59,19.94,6.98,1.68,3.92,5.59,1.56,0.49,0.66,0.93,2.03,2.53,4.85,0.521,0,0.12,0,1.93,2.64,0.731,PG
Al Jefferson,2017-2018,REG,Pacers,31,13.54,6.97,0.77,3.13,3.9,0.87,0.45,0.58,0.58,1.9,3.16,5.77,0.547,0,0.03,0,0.65,0.84,0.769,SF
Mike Muscala,2017-2018,REG,Hawks,40,17.93,6.83,1.08,2.93,4,0.85,0.63,0.53,0.7,1.7,2.43,5.13,0.473,0.98,2.43,0.402,1,1.13,0.889,SF
Nick Young,2017-2018,REG,Warriors,64,15.27,6.83,0.23,1.08,1.31,0.41,0.5,0.11,0.48,1.16,2.42,5.52,0.439,1.5,3.84,0.39,0.48,0.63,0.775,C
Joe Johnson,2017-2018,REG,"Jazz, Rockets",42,22.21,6.83,0.29,2.88,3.17,1.45,0.36,0.14,0.93,1.21,2.74,6.64,0.412,0.71,2.6,0.275,0.64,0.74,0.871,C
T.J. McConnell,2017-2018,REG,76ers,61,24.21,6.82,0.54,2.67,3.21,4.25,1.36,0.16,1.69,1.72,2.98,5.98,0.499,0.41,0.92,0.446,0.44,0.52,0.844,PG
Nemanja Bjelica,2017-2018,REG,Timberwolves,54,18.62,6.78,0.72,3.11,3.83,1.22,0.69,0.2,0.74,1.96,2.54,5.2,0.488,1.13,2.57,0.439,0.57,0.69,0.838,PG
Marquese Chriss,2017-2018,REG,Suns,62,20.31,6.76,0.94,4.08,5.02,1.11,0.68,0.95,1.34,2.85,2.44,6.05,0.403,0.81,2.6,0.311,1.08,1.89,0.573,PG
Ian Clark,2017-2018,REG,Pelicans,60,18.7,6.75,0.17,1.55,1.72,1.35,0.37,0.15,0.77,1.6,2.7,6.22,0.434,0.73,2.6,0.282,0.62,0.85,0.726,PF
Tyler Zeller,2017-2018,REG,"Nets, Bucks",55,16.5,6.75,1.6,2.96,4.56,0.58,0.18,0.55,0.76,1.85,2.87,5.18,0.554,0.18,0.51,0.357,0.82,1.2,0.682,PF
Tyler Ulis,2017-2018,REG,Suns,59,22.23,6.75,0.27,1.31,1.58,3.95,1,0.07,1.59,1.69,2.63,7.05,0.373,0.49,1.83,0.269,1,1.24,0.808,SG
Jakob Poeltl,2017-2018,REG,Raptors,68,18.42,6.74,1.99,2.72,4.71,0.69,0.43,1.31,1,2.71,2.99,4.66,0.64,0.01,0.03,0.5,0.75,1.26,0.593,C
Nene,2017-2018,REG,Rockets,47,14.51,6.74,0.98,2.32,3.3,0.85,0.47,0.28,0.79,2.4,2.72,4.64,0.587,0,0.04,0,1.3,2,0.649,PG
